,precision,recall,f1-score,support
A,0.4,0.6667,0.5,6.0
B,1.0,0.8333,0.9091,6.0
C,0.2857,0.3333,0.3077,6.0
D,1.0,0.5,0.6667,6.0
E,0.3333,0.3333,0.3333,6.0
F,0.3333,0.1667,0.2222,6.0
G,0.0,0.0,0.0,6.0
H,0.75,0.5,0.6,6.0
I,0.0,0.0,0.0,6.0
J,0.5,1.0,0.6667,6.0
K,1.0,0.1667,0.2857,6.0
L,0.25,0.3333,0.2857,6.0
M,0.3333,0.5,0.4,6.0
N,0.3333,0.6667,0.4444,6.0
O,0.375,0.5,0.4286,6.0
P,1.0,0.8333,0.9091,6.0
Q,0.8333,0.8333,0.8333,6.0
R,1.0,0.6667,0.8,6.0
S,0.0,0.0,0.0,6.0
T,1.0,0.5,0.6667,6.0
U,0.6667,0.3333,0.4444,6.0
V,0.5,0.6667,0.5714,6.0
W,0.6667,1.0,0.8,6.0
X,0.6,1.0,0.75,6.0
Y,0.4286,1.0,0.6,6.0
Z,0.5,0.3333,0.4,6.0
accuracy,0.5256,0.5256,0.5256,0.5256
macro avg,0.5419,0.5256,0.4933,156.0
weighted avg,0.5419,0.5256,0.4933,156.0
